start,end,text
182360,184440," That actually hurt."
184440,185440," Okay."
185440,188560," I have to not react to things too hard."
188560,194080," Let's jump right into YouTube hiking the price of premium plans in several countries."
194080,195080," That's right."
195080,201080," Literally the day after I uploaded the video that I teased on Wensho last week where I"
201080,205400," was defending YouTube charging for 4K video."
205400,211160," So putting it behind a premium paywall, YouTube turned around and increased the price of my"
211160,217800," premium family plan from 18 Canadian dollars to 23 Canadian dollars."
217800,222000," Actually, it's a big job."
222000,224040," That is a substantial increase."
224040,225640," What does that work out to?"
225640,228040," Like a 30% hike or something like that?"
228040,231960," I thought it was like 25."
231960,234120," And we are not the only ones to have."
234120,235400," Our prices increased."
235400,244760," The US and the UK went from 1799 of their currency to 2299 and 1999 respectively."
244760,251360," And other regions are getting similar hikes in Argentina where inflation has reached 95%."
251360,254520," The jump is particularly aggressive."
254520,261560," Plans went from 78 US cents to $2.53 US."
261560,268400," So that's like, wow, over tripling."
268400,275280," And then family plans went from $1.17 to $4.55 again, tripling."
275280,277200," That is brutal."
277200,278200," That's crazy."
278200,279200," Additionally."
279200,283120," Now this is something that I feel like we can really dig our teeth into."
283120,287800," YouTube is hiking the price of family plans for users who subscribe to Rappel's App Store"
287800,294040," from 2299 to 2999."
294040,298360," Taking that route has always been more expensive, but YouTube is now explicitly disclosing this"
298360,300160," in their announcement email."
300160,306720," So for the people who are not familiar with why YouTube premium would cost more, Luke,"
306720,307960," what's the deal with that?"
307960,311200," The App Store takes a monstrous, monstrous cut."
311200,315520," This is true on Android and iOS platforms."
315520,317720," I'm not trying to just go after them."
317720,323120," But yeah, these App Stores take huge, huge cuts."
323120,329400," I think generally in the 30% range, which is a lot just for hosting some downloads in"
329400,331040," a store."
331040,338160," Now my understanding is that you weren't allowed to charge essentially a 30% surge charge."
338160,339520," Just to amount more."
339520,340520," To account for it."
340520,343400," But like I thought that was actually against."
343400,345720," They've been shifting the rules on that."
345720,349040," I don't know exactly where it stands right now because the last time that they shifted"
349040,354040," their rules, we matched exactly what their rule change was and then our app got denied"
354040,356280," for following their rules."
356280,359960," And then I had to have like an hour long phone conversation about that and then our app got"
359960,364720," approved because nothing matters apparently."
364720,366440," So I don't know."
366440,373320," Yeah, the line keeps moving because lawsuits and whatnot keep on happening."
373320,374320," That makes sense."
374320,375320," Yeah, that makes sense."
375320,376320," I'm not sure."
376320,379920," But I guess you can now unless we're going to see a huge legal battle between them."
379920,381160," But I'm pretty sure you can."
381160,384680," I think you're allowed to charge a differing amount at this point."
384680,388200," I think that this raises some pretty interesting questions."
388200,389800," Let's get through the price increases."
389800,395760," So original subscribers to YouTube read family plans who were grandfathered in at $14.99"
395760,399840," a month are going to be subject to the new $22.99 price."
399840,405520," But not until April 2023 with everyone else getting the new price on their next billing"
405520,406520," cycle."
406520,412640," And I think that the conversation needs to be why is this allowed?"
412640,420360," This is not a free or ad supported service where as people so helpfully pointed out when"
420360,427320," we were talking about the whole does adblock equal piracy discussion does not actually"
427320,431880," have any kind of explicit contractual agreement."
431880,432880," Yeah."
432880,433880," The platform and the user."
433880,439320," I think that there is certainly a terms of service and there's conversations to be had"
439320,443080," around what the implied agreement is for the use of the platform."
443080,445960," But this is a paid agreement."
445960,452640," How is it exactly that lawmakers have not sort of identified this as something that"
452640,455400," absolutely needs to be stopped?"
455400,460800," This single party renegotiation of the deal?"
460800,463760," Do you feel a little bit like Lando at this point?"
463760,467680," Lando Calrissian."
467680,470200," I enjoy the reference."
470200,471200," I don't know."
471200,479560," Because with inflation we've seen really intense inflation lately."
479560,483840," They mentioned here but in Argentina where inflation has reached 95% it hasn't been that"
483840,488080," bad in Canada or the States but it's still been really really bad."
488080,492520," If you have inflationary periods if you sign an agreement with some company okay I'm going"
492520,496480," to pay what was the original YouTube red one 14.99 I believe."
496480,497480," Yeah."
497480,498480," I'm going to pay 14.99."
498480,499480," Yeah."
499480,503480," In the years that 14.99 doesn't have the same power that it had when you originally signed"
503480,504480," that agreement."
504480,510720," So maybe it could be a situation where like rate increases have to be within a reasonable"
510720,512320," margin or something."
512320,514120," I don't know."
514120,519480," I mean yeah we saw that during the billing cycle so people could cancel."
519480,524840," We saw that in the early days of the pandemic where they mandated that rent could not be"
524840,527120," increased certainly not over a certain amount."
527120,533360," I know there are places where rent increases need to be within a certain percentage or"
533360,535960," they are considered to be illegal."
535960,541640," But you know I guess from my point of view it's just it's not what I agree to."
541640,547120," I don't see why that should be permitted for a service."
547120,554360," I mean you're right obviously if you don't like it you can just not pay for it but they're"
554360,558400," not even they're not even they're not even putting up a facade."
558400,560120," Do you think the timing feels suspicious?"
560120,562360," I'm going to do the right thing."
562360,564920," The timing feels very suspicious to me."
564920,568080," Not based on not based on your video to be clear."
568080,569080," No."
569080,575400," What I'm talking about is the changes coming to Chrome."
575400,579840," When I first read this I was like oh yeah so they're going to like completely screw over"
579840,586560," ad blockers and right before they do that they're going to do a massive rate hike to"
586560,587840," YouTube premium."
587840,593160," This might just be me like finding things where they don't exist but the timing's not"
593160,600560," you know exactly lined up but it's pretty close if I remember correctly the the I don't"
600560,605400," remember the exact verbiage for the change but what they're doing to to Chrome that is"
605400,612120," going to impact ad blockers and probably some other things but very notably ad blockers"
612120,618160," is going to happen I believe in January which at this point is a few months away."
618160,619160," It's not that far off."
619160,620520," Yeah that's pretty soon."
620520,621520," Yeah."
621520,626200," There's some really good questions about this coming in from floatplane chat so first of"
626200,634640," all cast 54 points out that they should at least at the very least not be able to charge"
634640,640280," people the new rate until they click a button that says they're okay with it and they could"
640280,646320," absolutely cancel your service but to me like I remember when we migrated floatplane from"
646320,652960," the LTT forum to its own site to floatplane.com and I remember it being extremely complicated"
652960,661360," to change the terms of a recurring service agreement then this word keeps escaping me"
661360,665840," and you unilaterally there we go that's the word I'm looking for to just unilaterally"
665840,673440," change the terms of the agreement and we ended up having to have people manually go through"
673440,677960," and sign up again for the new site we lost a lot of you."
677960,678960," Interesting."
678960,682960," Interestingly enough I'll throw some context in there that is completely correct that"
682960,687160," was very difficult one of the main reasons why that was difficult is because we were actually"
687160,689440," changing business entities."
689440,694240," So when it was through the forum it was under line is media group when it was through the"
694240,698120," floatplane website it was under floatplane so we were changing business entities there's"
698120,704160," a bunch of issues there because we were transferring payment agreements from one company to another"
704160,708480," and I think that might be possible but it was way beyond us at the time if it is even"
708480,713960," possible at all I don't know so we had to have people manually move themselves over."
713960,719720," The other interesting tidbit is we can absolutely change people's agreements and increase or"
719720,722120," decrease prices at will."
722120,726720," The reason why it's never come up is we're obviously not going to do that because that's"
726720,727720," incredibly stupid."
727720,729720," Speak for yourself."
729720,734080," You'll get wrecked as a company if you do that at least that's been arpeggioed."
734080,738960," So obviously we don't do that but there is ways that you can set up where you can totally"
738960,741400," change people's monthly value."
741400,746120," I love the idea of needing to press a button though because something that we know this"
746120,753480," at floatplane and anybody who has ever done Twitch streaming at a professional level knows"
753480,754560," this as well."
754560,759800," When you have paid subscriptions you will have and I'm saying we know this at floatplane"
759800,763400," I'm not saying it's a good thing it's just something that we have knowledge of because"
763400,765960," if we didn't we would just be stupid."
765960,771240," But if you have paid subscriptions at all there are going to be people that forget about"
771240,772240," them."
772240,776600," Maybe the five bucks or the three bucks or the ten bucks isn't a ton to them."
776600,781480," Maybe they aren't really on top of their credit card statements whatever else."
781480,787240," It's even worse when you sign up for things on yearly plans because when people go to"
787240,790040," review their credit card statements they don't see it coming in all the time."
790040,791720," They get a one in twelve chance to catch it."
791720,792720," Yes."
792720,793720," Yes."
793720,794960," So it's totally a thing."
794960,800520," So if you don't have and a lot of people will also see a charge coming in and they're"
800520,808000," like oh that's Amazon or YouTube or Google or Walmart or whatever."
808000,811760," Like I recognize what this is and this is a payment that I pay every month."
811760,812760," Okay that's fine."
812760,816320," So not necessarily paying too much attention to what the value is but they're like oh"
816320,820840," yeah I subscribe to YouTube premium that's the YouTube premium payment sounds good."
820840,822960," Especially people that have currency conversions."
822960,824640," So that makes sense."
824640,827400," Changing the price sure they send an email."
827400,829960," When's the last time you read a marketing email from YouTube?"
829960,835520," I mean I did read this email because it was like your price is going up."
835520,839440," I tweeted about it because I just felt so..."
839440,841440," I don't know."
841440,842440," I don't know."
842440,845160," I appreciate the irony of the timing."
845160,846760," You know what I learned about this?"
846760,848480," Because I filtered out."
848480,849480," I never even..."
849480,853320," This email never hit my inbox on my personal email because it's a marketing email."
853320,854320," I just filtered out."
854320,855320," I don't care."
855320,857320," I learned about this because you're tweeting."
857320,858320," Oh really?"
858320,859320," Oh that's hilarious."
859320,861480," Because I didn't see the email."
861480,862880," And I'm a YouTube premium person."
862880,863880," So this sucks."
863880,867040," Like I'm not stoked."
867040,871040," Get ready to pay another $5 or $6 or whatever it is."
871040,872040," Yeah."
872040,877720," Black Spectre over in float playing chat asks I'm still keeping my $3 plan right?"
877720,878720," Yeah."
878720,883720," I mean I am also on the 4k plan but it's always good knowing I can fall back to the $3 plan"
883720,885000," if I need to wait."
885000,891000," You have two active subscriptions to float playing so that you can have the 4k tier"
891000,896840," and you can also take your grandfather's OG tier status in case you need it."
896840,904160," So you're actually paying $13 a month to retain the ability to pay $3 a month if you"
904160,905160," need it in the future."
905160,906160," They would need two accounts."
906160,907160," Are you sure that's how that's right?"
907160,912360," I think you need a financial advisor because that is not great planning actually."
912360,914360," Hey, thank you for the $13."
914360,920920," Someone in chat said I never got an email and my payment is $10 and my special."
920920,922640," I don't know how your payment is $10."
922640,926880," I'm not sure what currency you're paying in but you haven't heard of YouTube."
926880,928520," Premium ever being $10."
928520,929520," Yeah."
929520,930520," So you must be in a different region."
930520,934600," Maybe your region isn't affected by this."
934600,936000," I don't know."
936000,937000," I don't know."
937000,938000," This is hilarious."
938000,940680," I wonder how many of our float playing subscribers are duplicates."
940680,942680," Now I want the team to go look into that."
942680,947560," Like how many of these accounts are coming from the same IP all the time and stuff?"
947560,948560," Oh."
948560,953320," I'm like, have identical names and use the same credit cards or whatever."
953320,955920," Yeah, that would be a fair amount of digging."
955920,958000," Yeah, I don't think you need that."
958000,959840," You guys should just not pay us twice."
959840,962520," So, yeah, I mean, you can if you want."
962520,965280," I'm not going to refuse to take it."
965280,968680," But you should just buy more stuff on LTT store."
968680,972440," That's smarter because then you get like shirts and stuff."
972440,977160," Nicholas N asks, what I want to know is if this $5 increase is going to benefit the"
977160,981160," creators that I watch and that is one silver lining."
981160,987680," That is one part of the argument that I made in the 4K should be paid video that at the"
987680,994360," very least what YouTube is doing through their really like unprecedented the way that"
994360,1001880," YouTube shares revenue is unlike any other platform the the degree of transparency and"
1001880,1006520," the percentage that they share are way more generous than anyone else."
1006520,1013120," And so there's a reason that creators are constantly trying to figure out how to grow"
1013120,1019560," on YouTube whatever platform people come from the really successful online creators ultimately"
1019560,1021880," end up on YouTube."
1021880,1027320," And the reason for that is because of the way that they share revenue and yes, the answer"
1027320,1034600," is yes, this would be this would be subject to the same revenue sharing agreement that"
1034600,1037840," regular premium is that ad sense is."
1037840,1044200," And it's one of the ways that Google attracts talent to the platform so so so effectively"
1044200,1047120," in a way that just nobody else has figured out how to match."
1047120,1049760," And I shouldn't say has figured out how to match."
1049760,1052480," I think everyone else has figured out how to match it."
1052480,1058520," You have to choose like actually pay money to creators but companies like ByteDance don't"
1058520,1061680," want to do it so they just don't."
1061680,1065920," And I think that's one of the reasons that YouTube has stood the test of time while other"
1065920,1072600," platforms like Vine and like I ultimately believe TikTok come and go and come and go"
1072600,1075440," and come and go while YouTube remains."
1075440,1080440," And you've got a lot of people talking about like especially in the comments on that video"
1080440,1087240," you know angrily and justifiably angry right like I get it but angrily talking about how"
1087240,1091840," this is the last straw YouTube taking away 4K is this is going to be the last straw and"
1091840,1099240," I'm going for an alternative and it's like guys there is no alternative because at the"
1099240,1104440," end of the day content is king that is always going to be true."
1104440,1109960," And so yeah it's tough right."
1109960,1111200," There's some people in Chatsing."
1111200,1112680," Oh sorry go for it."
1112680,1113680," No no go for it."
1113680,1118080," There's some people in Chatsing that they have YouTube premium at 799 apparently that's"
1118080,1121280," a student plan thing there's other people in Chatsing that they have YouTube premium"
1121280,1128120," at 10 bucks which is apparently if you had Google Play music and like maybe something"
1128120,1132120," else you got grandfather multiple times something something something something I don't know"
1132120,1137200," what's going to happen to all of those but in general there is there is a big red."
1137200,1144080," Do you know so it is is what the creators take from premium views a percentage of the"
1144080,1146920," premium price."
1146920,1147920," Correct it is."
1147920,1154360," Okay yeah so the whole premium dollars go into a big fat bucket and then I think I tweeted"
1154360,1161120," out the percentage share incorrectly actually I believe it's 55% to the creators 45 to the"
1161120,1166400," platform and that 45 is not all profit for the platform that includes payment processing"
1166400,1170840," fees which has Luke knows yeah he's not a can be quite substantial."
1170840,1173040," They run their own which I'm sure helps."
1173040,1176720," They do run their own which is cheaper but they're still going to be paying to you know"
1176720,1181200," MX or Visa or whatever other credit card processors that they support or whatever else."
1181200,1184440," And there's cost of maintaining and maintaining your own payment."
1184440,1190880," Yes and and the cost of actually hosting the data and delivering it."
1190880,1198120," So it's a pretty it's a pretty good deal for creators which is why the creator ecosystem"
1198120,1205760," has just blossomed into this this vibrant community that they have now and they have"
1205760,1212000," so much first movers momentum on this I just don't see realistically how anyone is going"
1212000,1213840," to catch them."
1213840,1215720," Yeah I've always kind of seen YouTube that way."
1215720,1222760," I don't think I don't know if it was last week but we were talking about like what resolutions"
1222760,1227640," would you still watch YouTube at and it was like basically whatever because where else"
1227640,1230360," am I going to go for this."
1230360,1236280," And it's like it gets to the point where it's like if the resolution goes so low you just"
1236280,1240440," don't watch videos because where else are you going to go."
1240440,1245920," Which vaud does not cover what YouTube does at all daily motion does not cover what YouTube"
1245920,1248440," does at all like no one else is in that game."
1248440,1249440," Like Fermio get real."
1249440,1250440," Not a chance."
1250440,1255600," Fermio if anything has made themselves has made it even more clear in the last like year"
1255600,1263040," that they are not interested in chasing that ad supported free content mega site."
1263040,1264040," It's really hard."
1264040,1272040," Yeah it's super hard lumber wand over in YouTube chat I know there's a first time for everything"
1272040,1277840," says so if I have premium and ad block does that money still get properly attributed to"
1277840,1280160," the creators that I watch."
1280160,1285400," Well my question is why do you have ad block if you have premium."
1285400,1291560," But also yes your premium watch time as long as you're signed in gets divvied up according"
1291560,1296840," to watch time or sorry your premium money gets divvied up to the creators you watch"
1296840,1301080," according to watch time ratios yes that's right."
1301080,1304720," Yeah people have asked a bunch of times like why don't you make free ad sported tears on"
1304720,1308240," flow plan because it's an insane amount of work."
1308240,1313640," Like it's it's a massive amount of work to broker those advertising deals or you're just"
1313640,1317640," jumping on something like YouTube AdSense anyways."
1317640,1321440," Yeah yeah you're giving Google a cut."
1321440,1325920," Then you can't be competitive with them regardless so like what is what is the value"
1325920,1332120," ad here like it's it's it's tough it's a it's a hard space to be in okay."
1332120,1336680," This kind of leads into one of our discussion questions which is why does YouTube seem so"
1336680,1342240," unconcerned about the potential for moves like this to push users towards ad blockers."
1342240,1347240," So they're not concerned I don't think about users just leaving the site altogether I think"
1347240,1353960," maybe they've gotten a little complacent but also rightfully so but as for ad blockers"
1353960,1362560," I mean Luke you have the you have the technical capacity to block ads on YouTube but you subscribe"
1362560,1367360," to YouTube premium and you seem to have telegraphed earlier in the show that you intend to pay"
1367360,1375320," the the new $22.99 price for premium as opposed to setting up a I mean I don't even know how"
1375320,1381120," to completely block YouTube ads like I know on on mobile it's a little challenging on"
1381120,1383120," TV it's very challenging."
1383120,1389120," Well on mobile you can just look into mobile like braver whatever with an ad blocker but"
1389120,1394640," on on TV I believe it's quite challenging and and you won't get your 4k anyway if that"
1394640,1399280," was your goal on mobile if you use an alternate browser."
1399280,1408080," There are there are other ways on mobile and you can still get your 4k but I have premium"
1408080,1413200," so I don't care and I don't want to talk about it but there yeah on on TV I have no"
1413200,1419440," idea because I've never been interested in watching YouTube on TV to be completely honest"
1419440,1426720," so I haven't looked into it myself on mobile it's definitely possible on on computer is"
1426720,1434400," definitely possible. I did mention earlier in in I believe it's January someone manifest"
1434400,1439640," v3 is coming that's going to mess with ad blockers maybe we'll see if that'll that'll"
1439640,1446200," push that down in regards to ad blocking I do think this will cause a little bit of that"
1446200,1454160," I do question how many people would go from paying for it to ad blocking it because of"
1454160,1459640," this change I'm sure it will be some but will it all be increased amount that they'll make"
1459640,1465160," from charging way way more like this is a massive increase."
1465160,1470720," You know what I actually I want to play devil's advocate here counterpoint I actually think"
1470720,1477120," the odds of someone who was paying before turning to ad luck assuming they for whatever reason"
1477120,1483040," couldn't keep paying their premium subscription if this was one cappuccino too far right you"
1483040,1489320," know okay so they unsubscribe it's a lot I actually I disagree I think that they would"
1489320,1495360," be more likely than a typical user because they are a probably an enthusiast user of the"
1495360,1501720," platform one that was willing to pay so one that probably consumes a lot and be have probably"
1501720,1508400," grown very accustomed to not seeing ads on YouTube so I would I would actually imagine"
1508400,1514120," these people digging pretty hard for an alternative I mean I'm going to I'm going to reiterate"
1514120,1519280," my my my private hearing stance and that's that using the platform in a way that does"
1519280,1524240," not compensate creators for their work is detrimental to the platform that you appear"
1524240,1533240," to be enjoying and may claim to like the content on and so you know make of that what you will"
1533240,1537880," and make your decision accordingly but that doesn't change that people are are going to"
1537880,1543920," be I think surprised especially if they've been on premium for a while by how many flippin"
1543920,1553000," ads are on YouTube now yeah yeah I mean I wouldn't even know any time I open in the"
1553000,1557680," wrong browser I run away immediately because I hate I hate seeing the ads for me it's it's"
1557680,1564360," a it's a big multi-tiered thing where I I want to support other creators on on YouTube"
1564360,1569440," because I watch a bunch of YouTube and I know they get better cuts when I'm watching as a"
1569440,1574240," premium subscriber so I think that's cool I like that part of it I like that there's"
1574240,1581440," no ads and I don't feel bad about it I understand that there is actually a huge amount of cost"
1581440,1587360," so just blocking all the ads on YouTube feels a little wonky when I feel quite strongly"
1587360,1590760," about the whole Malvertizing thing I don't think I need to go over that for like the"
1590760,1598640," 20th time on Wanshow but I don't necessarily think that Malvertizing on YouTube is actually"
1598640,1605400," a big problem maybe it is but I've never heard of it being a problem I I mostly am"
1605400,1611120," interested in in stopping those types of problems outside on on other other parts of the internet"
1611120,1617280," but yeah supporting a platform that I use a ton that I know costs a lot to run and being"
1617280,1621640," able to support other creators that I actually want to support through doing that knowing"
1621640,1626680," that they make more money off of it all of those things together makes it pretty reasonable"
1626680,1631080," for me instead of just presenting problems then why don't we why don't we talk solutions"
1631080,1637840," I mean I would never advise someone to circumvent the terms of service of a website."
1637840,1645400," I'm sorry excuse me sorry I thought excuse me you know I would I would never say something"
1645400,1651000," like that but if it really is a step too far I mean one of the things that struck me about"
1651000,1656440," this price increase is that even though it's like a 30% increase or 25% increase or whatever"
1656440,1666760," it's still $3.33 US per member of my family a family plan is is $23 a month or whatever"
1666760,1672120," Canadian and I have five people using it yeah I'm kind of sitting here going you know what"
1672120,1677960," it's it's kind of funny how common it is right for people to share a Netflix account"
1677960,1683840," and yet I almost never see anyone talking about sharing a YouTube premium account and"
1683840,1688280," I understand it's less convenient to share a YouTube premium account just because there's"
1688280,1692880," so many other Google services that you might use that you might want you might actually"
1692880,1700000," want to contribute to informing your your recommendations and things like that like"
1700000,1707000," it's such a personalized service but I mean we use to talk about it yeah if the choice"
1707000,1710960," is to not that's true we used to talk about it because you shamelessly were piggybacking"
1710960,1715040," off of my family plan yeah actually yeah another another you're not trying how can"
1715040,1721840," you do this to me I'm sorry first child Luke actually now that I think about it no I was"
1721840,1726120," being done before you don't actually have to share the login anyway no you get up to"
1726120,1730600," five accounts on the single family plan so I wouldn't I wouldn't talk about you know"
1730600,1734080," circumventing terms of service that would never be a thing that I would talk about I"
1734080,1740560," just I think that it's worth you know considering if maybe there could be ways that are not"
1740560,1750320," as detrimental to creators for people to help to offset some of the increasing cost yeah"
1750320,1756200," for sure there's I think there are and just like you can talk about exploits and bugs"
1756200,1764440," and systems without encouraging people to do them there are definitely ways to yeah reduce"
1764440,1772160," reduce the impact of this change for sure like using Firefox in January for no specific"
1772160,1778440," reason or or or yeah potentially expanding your family"
1778440,1786040," yeah I mean really aren't we all family yeah in the tech community yeah why I feel like"
1786040,1791960," we're just all family just and so it's a big happy place family yeah with that family"
1791960,1797560," spirit in mind it really does just seem like kind of a kind of an obvious middle ground"
1797560,1803120," like I pay literally you know from myself I pay 350 right a month for YouTube premium"
1803120,1807520," that seems that seems sustainable forever they could double the price and I would still"
1807520,1814160," find that to be quite reasonable and I just want to say you know no matter who you are"
1814160,1823280," you probably have four friends and if you don't I'm so sorry to hear that but you know"
1823280,1827560," it's it could be a goal for you you might you might not have four friends that all want"
1827560,1837040," to pay for YouTube but you might find them I wouldn't be surprised if there was like"
1837040,1843240," a discord server or something that sprung up which was like oh man to find the amount"
1843240,1847280," of feels bad man and forever alone I mean that's in twitch chat though I mean we knew"
1847280,1850520," they didn't have friends because they're hanging out with like people who don't know"
1850520,1864360," they exist in hot tubs oh man all these parasocial relationships I know right if you have four"
1864360,1873400," non-stop social for you can't attack them for parasocial relationships wait why not because"
1873400,1882560," we're not gonna have any viewers yeah oh ever you'll keep watching yeah that's the thing"
1882560,1886200," about parasocial relationships you can make fun of them for it and they'll still do it"
1886200,1897400," anyway yep it's all stop barrington whoa no Jake Jake he's one of our most OG OG OG followers"
1897400,1912200," yeah all of all of all of what playing chat feels extremely called out all right is it"
1912200,1920520," six people you and five others no I think it's no five total I believe I don't know yeah"
1920520,1923800," I'm not sure yeah because otherwise I have no excuse for not having Luke on our family"
1923800,1933440," yeah oh man bullying everyone this has gone extremely well this last little bit why don't"
1933440,1942120," we move on to our next topic should we do AMD yeah let's do AMD because they they they"
1942120,1947880," about to get done yeah after launching with a fairly strong showing with rise in 7000 AMD"
1947880,1953840," looked like they might be doing pretty okay but Intel was looming with 13th gen Raptor"
1953840,1960320," Lake CPUs and they may have cut the celebration short apparently it's been a little rough"
1960320,1968160," launched yesterday the new CPUs posted impressive numbers with the core 913 900 K these names"
1968160,1974440," are getting really long apparently it is manager plus five by the way so yeah six people even"
1974440,1978320," cheaper than I thought okay sorry carry on"
1978320,1987160," yeah but yeah apparently they're topping the charts over AMD's more expensive 16 core rise"
1987160,1993880," in 979 50 X in all but the most heavily multi threaded workloads which does make sense can"
1993880,2001400," we talk about that for a moment I feel like much there much ado gets made of multi threaded"
2001400,2007840," performance but for the average consumer what most of like yeah outside of like maybe four"
2007840,2013120," four threads four to eight threads is anything you do actually having heavily multi threaded"
2013120,2017280," like to be clear it's pretty we're not going to stop talking about multi threaded performance"
2017280,2023880," in reviews because it has been and continues to be a very forward looking way of measuring"
2023880,2029840," the performance of a CPU because theoretically in the future workloads will come but for"
2029840,2036120," the average consumer who doesn't spend all day you know doing that CPU video encoding"
2036120,2043280," for peak quality or you know rendering out complex scenes in blender I mean show of hands"
2043280,2048040," like Luke want to throw up a poll on the float playing chat how many of you actually use"
2048040,2056080," blender like other than to dink around with it once a quarter you know how important is"
2056080,2061960," multi threaded performance oh this is a great comment in twitch chat was bound to happen"
2061960,2072240," eventually kelton says e-cores are cinevention answers yeah oh let's get this poll going"
2072240,2078640," do you actually use blender on a regular basis 20 percent we've got 80 82 83 percent saying"
2078640,2085960," no we've got a couple percent saying yes and then we've also got like 15 percent liars"
2085960,2091280," in there I also yeah yeah I was gonna say like I really wonder how many of the yeses"
2091280,2098600," are people just being like I am these good okay come on I regret my thread ripper every"
2098600,2107360," single day though yeah yeah how's that upgrade path going for you Dan I yearn for death I"
2107360,2114280," spent so much money on that computer so much money and it's it's a multi thread is said"
2114280,2120640," this is one of the reasons why future proofing is is something that we always kind of scoff"
2120640,2126400," at a little bit I'll be a word yeah because when when people when people talk about like"
2126400,2135120," oh I want to like really multi thread capable CPU because the future it it's not really"
2135120,2145280," happening it's kind of hard to dev software like that so people just don't do it BT arc"
2145280,2151080," cellists in twitch chat says every last furry is destined to learn blender for VR there's"
2151080,2158720," literally dozens of us yes that's that is true I guess that makes I wanted to build myself"
2158720,2166720," a I wanted to build myself a model for beat same or saber streaming and I realized that"
2166720,2172040," even though there are kind of redone no not a furry one necessarily even though there are"
2172040,2178560," pre done like starting points and there are guides you have to really get into the weeds"
2178560,2184880," with modeling software to to like draw it and bring it up and I'm like oh this is far"
2184880,2189120," beyond my skills it would be I would be far better off just paying someone to do this"
2189120,2194800," then I looked into how much it costs and I was like ready player now or whatever it's"
2194800,2200400," called that that service that just like you pick some generic attributes and assets and"
2200400,2206800," it just starts out a model for you that'll do for me it's it's totally free man I so back"
2206800,2211440," when I was in high school I've talked about my high school computers teacher a few times"
2211440,2215400," and I mentioned a few shows back that he he created this like 3D game programming course"
2215400,2222160," for us we we had to do some basic 3D modeling in that class and we used this program called"
2222160,2229040," milk shape so it sounds like milkshake but it's milkshake yeah and I just googled it"
2229040,2235360," to see if it was still a thing and I don't think so but yeah I used to do some of that"
2235360,2244400," stuff one time ago kind of cool anyways um yeah we should continue that also people"
2244400,2247920," are asking if merch messages are not a thing today I don't actually have the dashboard open"
